model,biofix_rule,evaluation,all_n_events,all_mean_abs_stage_distance,all_exact_major_accuracy,all_display_major_accuracy,all_transition_display_rate,all_adjacent_major_accuracy,all_severe_error_rate,core_no90_n_events,core_no90_mean_abs_stage_distance,core_no90_exact_major_accuracy,core_no90_display_major_accuracy,core_no90_transition_display_rate,core_no90_adjacent_major_accuracy,core_no90_severe_error_rate
shared_major_thresholds_cultivar_offset,tmean_ge_10_run_5d,3fold_after_one_user_feedback,145,0.7034482758620689,0.41379310344827586,0.5586206896551724,0.4896551724137931,0.896551724137931,0.10344827586206896,144,0.7013888888888888,0.4166666666666667,0.5625,0.4930555555555556,0.8958333333333334,0.10416666666666667
shared_major_thresholds_cultivar_offset,tmean_ge_12_run_5d,3fold_after_one_user_feedback,145,0.7034482758620689,0.41379310344827586,0.5517241379310345,0.4896551724137931,0.896551724137931,0.10344827586206896,144,0.7013888888888888,0.4166666666666667,0.5555555555555556,0.4930555555555556,0.8958333333333334,0.10416666666666667
shared_major_thresholds,tmean_ge_8_run_5d,3fold_after_one_user_feedback,145,0.8689655172413793,0.296551724137931,0.4206896551724138,0.45517241379310347,0.8482758620689655,0.15172413793103448,144,0.8680555555555556,0.2986111111111111,0.4236111111111111,0.4583333333333333,0.8472222222222222,0.1527777777777778
shared_major_thresholds,tmean_ge_10_run_5d,3fold_after_one_user_feedback,145,0.8689655172413793,0.296551724137931,0.4206896551724138,0.46206896551724136,0.8482758620689655,0.15172413793103448,144,0.8680555555555556,0.2986111111111111,0.4236111111111111,0.4652777777777778,0.8472222222222222,0.1527777777777778
shared_major_thresholds,tmean_ge_12_run_5d,3fold_after_one_user_feedback,145,0.8689655172413793,0.296551724137931,0.41379310344827586,0.46206896551724136,0.8482758620689655,0.15172413793103448,144,0.8680555555555556,0.2986111111111111,0.4166666666666667,0.4652777777777778,0.8472222222222222,0.1527777777777778
shared_major_thresholds,tmean_ge_8_run_3d,3fold_after_one_user_feedback,145,0.8896551724137931,0.27586206896551724,0.4,0.4896551724137931,0.8413793103448276,0.15862068965517243,144,0.8888888888888888,0.2777777777777778,0.4027777777777778,0.4930555555555556,0.8402777777777778,0.1597222222222222
shared_major_thresholds,tmean_ge_10_run_3d,3fold_after_one_user_feedback,145,0.8896551724137931,0.27586206896551724,0.4,0.4896551724137931,0.8413793103448276,0.15862068965517243,144,0.8888888888888888,0.2777777777777778,0.4027777777777778,0.4930555555555556,0.8402777777777778,0.1597222222222222
shared_major_thresholds,tmean_ge_12_run_3d,3fold_after_one_user_feedback,145,0.8896551724137931,0.27586206896551724,0.4,0.4896551724137931,0.8413793103448276,0.15862068965517243,144,0.8888888888888888,0.2777777777777778,0.4027777777777778,0.4930555555555556,0.8402777777777778,0.1597222222222222
shared_major_thresholds,tmean_ge_8_run_7d,3fold_after_one_user_feedback,145,0.8896551724137931,0.27586206896551724,0.3931034482758621,0.47586206896551725,0.8413793103448276,0.15862068965517243,144,0.8888888888888888,0.2777777777777778,0.3958333333333333,0.4791666666666667,0.8402777777777778,0.1597222222222222
shared_major_thresholds,tmean_ge_10_run_7d,3fold_after_one_user_feedback,145,0.8896551724137931,0.27586206896551724,0.3931034482758621,0.47586206896551725,0.8413793103448276,0.15862068965517243,144,0.8888888888888888,0.2777777777777778,0.3958333333333333,0.4791666666666667,0.8402777777777778,0.1597222222222222
