id,created_datetime,text
1225,2025-12-10T02:09:02.181187+00:00,
1226,2025-12-10T02:09:07.822305+00:00,"Image1:20240516-明-水洗10X20-07.jpg, Normal:0, Malformed:1, Empty:1, MalformationRate:50.0%, GerminationRate:50.0%
Total: Number of images: 1, Normal:0, Malformed:1, Empty:1, MalformationRate:50.0%, GerminationRate:50.0%"
1227,2025-12-10T02:14:15.178383+00:00,
1228,2025-12-10T02:14:21.506100+00:00,"Image1:20240521-都-水洗10X40-02.jpg, Normal:1, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Image2:明阳-水洗-10X40-02.jpg, Normal:1, Malformed:1, Empty:0, MalformationRate:50.0%, GerminationRate:0.0%
Total: Number of images: 2, Normal:2, Malformed:1, Empty:0, MalformationRate:25.0%, GerminationRate:0.0%"
1229,2025-12-10T07:36:14.687301+00:00,
1230,2025-12-10T07:36:20.608547+00:00,"Image1:10X20倍 (2).tif, Normal:44, Malformed:3, Empty:15, MalformationRate:4.8%, GerminationRate:24.2%
Total: Number of images: 1, Normal:44, Malformed:3, Empty:15, MalformationRate:4.8%, GerminationRate:24.2%"
1231,2025-12-10T07:44:51.803795+00:00,
1232,2025-12-10T07:44:57.678021+00:00,"Image1:10X20倍 (3).tif, Normal:40, Malformed:3, Empty:24, MalformationRate:4.5%, GerminationRate:35.8%
Total: Number of images: 1, Normal:40, Malformed:3, Empty:24, MalformationRate:4.5%, GerminationRate:35.8%"
1233,2025-12-10T07:58:32.882943+00:00,
1234,2025-12-10T07:58:38.579350+00:00,"Image1:10X20倍 (42).tif, Normal:7, Malformed:1, Empty:13, MalformationRate:4.8%, GerminationRate:61.9%
Total: Number of images: 1, Normal:7, Malformed:1, Empty:13, MalformationRate:4.8%, GerminationRate:61.9%"
1235,2025-12-10T08:02:29.632221+00:00,
1236,2025-12-10T08:02:35.334208+00:00,"Image1:10X20倍 (17).tif, Normal:13, Malformed:1, Empty:9, MalformationRate:4.3%, GerminationRate:39.1%
Total: Number of images: 1, Normal:13, Malformed:1, Empty:9, MalformationRate:4.3%, GerminationRate:39.1%"
1237,2025-12-10T08:06:55.189938+00:00,
1238,2025-12-10T08:07:00.866244+00:00,"Image1:10X20倍 (21).tif, Normal:12, Malformed:1, Empty:10, MalformationRate:4.3%, GerminationRate:43.5%
Total: Number of images: 1, Normal:12, Malformed:1, Empty:10, MalformationRate:4.3%, GerminationRate:43.5%"
1239,2025-12-10T08:11:46.222580+00:00,
1240,2025-12-10T08:11:52.255879+00:00,"Image1:10X20倍 (29).tif, Normal:60, Malformed:2, Empty:35, MalformationRate:2.1%, GerminationRate:36.1%
Total: Number of images: 1, Normal:60, Malformed:2, Empty:35, MalformationRate:2.1%, GerminationRate:36.1%"
1241,2025-12-10T08:24:01.291822+00:00,
1242,2025-12-10T08:24:07.048332+00:00,"Image1:10X40倍 (194).tif, Normal:8, Malformed:0, Empty:2, MalformationRate:0.0%, GerminationRate:20.0%
Total: Number of images: 1, Normal:8, Malformed:0, Empty:2, MalformationRate:0.0%, GerminationRate:20.0%"
1243,2025-12-10T08:30:55.048943+00:00,
1244,2025-12-10T08:31:00.764315+00:00,"Image1:10X40倍 (155).tif, Normal:12, Malformed:0, Empty:2, MalformationRate:0.0%, GerminationRate:14.3%
Total: Number of images: 1, Normal:12, Malformed:0, Empty:2, MalformationRate:0.0%, GerminationRate:14.3%"
1245,2025-12-10T08:38:59.417022+00:00,
1246,2025-12-10T08:39:05.154094+00:00,"Image1:10X40倍 (1).tif, Normal:8, Malformed:0, Empty:8, MalformationRate:0.0%, GerminationRate:50.0%
Total: Number of images: 1, Normal:8, Malformed:0, Empty:8, MalformationRate:0.0%, GerminationRate:50.0%"
1247,2025-12-10T08:45:38.003713+00:00,
1248,2025-12-10T08:45:43.687140+00:00,"Image1:10X40倍 (6).tif, Normal:13, Malformed:0, Empty:4, MalformationRate:0.0%, GerminationRate:23.5%
Total: Number of images: 1, Normal:13, Malformed:0, Empty:4, MalformationRate:0.0%, GerminationRate:23.5%"
1249,2025-12-10T08:50:08.050526+00:00,
1250,2025-12-10T08:50:13.836975+00:00,"Image1:10X40倍 (8).tif, Normal:14, Malformed:3, Empty:8, MalformationRate:12.0%, GerminationRate:32.0%
Total: Number of images: 1, Normal:14, Malformed:3, Empty:8, MalformationRate:12.0%, GerminationRate:32.0%"
1251,2025-12-10T08:55:51.331190+00:00,
1252,2025-12-10T08:55:57.031562+00:00,"Image1:10X40倍 (14).tif, Normal:13, Malformed:2, Empty:8, MalformationRate:8.7%, GerminationRate:34.8%
Total: Number of images: 1, Normal:13, Malformed:2, Empty:8, MalformationRate:8.7%, GerminationRate:34.8%"
1253,2025-12-10T09:01:41.256409+00:00,
1254,2025-12-10T09:01:46.944843+00:00,"Image1:10X40倍 (29).tif, Normal:8, Malformed:0, Empty:7, MalformationRate:0.0%, GerminationRate:46.7%
Total: Number of images: 1, Normal:8, Malformed:0, Empty:7, MalformationRate:0.0%, GerminationRate:46.7%"
1255,2025-12-10T09:08:34.108781+00:00,
1256,2025-12-10T09:08:39.724537+00:00,"Image1:10X40倍 (29).tif, Normal:8, Malformed:0, Empty:7, MalformationRate:0.0%, GerminationRate:46.7%
Total: Number of images: 1, Normal:8, Malformed:0, Empty:7, MalformationRate:0.0%, GerminationRate:46.7%"
1257,2025-12-10T09:10:41.572253+00:00,
1258,2025-12-10T09:10:47.214985+00:00,"Image1:10X40倍 (42).tif, Normal:11, Malformed:3, Empty:6, MalformationRate:15.0%, GerminationRate:30.0%
Total: Number of images: 1, Normal:11, Malformed:3, Empty:6, MalformationRate:15.0%, GerminationRate:30.0%"
1259,2025-12-10T09:15:38.994722+00:00,
1260,2025-12-10T09:15:44.698079+00:00,"Image1:10X40倍 (44).tif, Normal:10, Malformed:0, Empty:4, MalformationRate:0.0%, GerminationRate:28.6%
Total: Number of images: 1, Normal:10, Malformed:0, Empty:4, MalformationRate:0.0%, GerminationRate:28.6%"
1261,2025-12-10T09:20:23.375474+00:00,
1262,2025-12-10T09:20:29.044750+00:00,"Image1:10X40倍 (47).tif, Normal:16, Malformed:1, Empty:4, MalformationRate:4.8%, GerminationRate:19.0%
Total: Number of images: 1, Normal:16, Malformed:1, Empty:4, MalformationRate:4.8%, GerminationRate:19.0%"
1263,2025-12-10T09:23:15.386739+00:00,
1264,2025-12-10T09:23:21.086313+00:00,"Image1:10X40倍 (49).tif, Normal:12, Malformed:1, Empty:6, MalformationRate:5.3%, GerminationRate:31.6%
Total: Number of images: 1, Normal:12, Malformed:1, Empty:6, MalformationRate:5.3%, GerminationRate:31.6%"
1265,2025-12-10T09:27:59.539743+00:00,
1266,2025-12-10T09:28:05.355554+00:00,"Image1:10X40倍 (55).tif, Normal:14, Malformed:1, Empty:8, MalformationRate:4.3%, GerminationRate:34.8%
Total: Number of images: 1, Normal:14, Malformed:1, Empty:8, MalformationRate:4.3%, GerminationRate:34.8%"
1267,2025-12-10T09:30:15.937499+00:00,
1268,2025-12-10T09:30:21.716852+00:00,"Image1:10X40倍 (57).tif, Normal:19, Malformed:5, Empty:10, MalformationRate:14.7%, GerminationRate:29.4%
Total: Number of images: 1, Normal:19, Malformed:5, Empty:10, MalformationRate:14.7%, GerminationRate:29.4%"
1269,2025-12-10T09:37:28.260714+00:00,
1270,2025-12-10T09:37:33.911693+00:00,"Image1:10X40倍 (55).tif, Normal:14, Malformed:1, Empty:8, MalformationRate:4.3%, GerminationRate:34.8%
Total: Number of images: 1, Normal:14, Malformed:1, Empty:8, MalformationRate:4.3%, GerminationRate:34.8%"
1271,2025-12-10T09:55:29.256809+00:00,
1272,2025-12-10T09:55:34.985953+00:00,"Image1:10X40倍 (55).tif, Normal:14, Malformed:1, Empty:8, MalformationRate:4.3%, GerminationRate:34.8%
Total: Number of images: 1, Normal:14, Malformed:1, Empty:8, MalformationRate:4.3%, GerminationRate:34.8%"
1273,2025-12-10T09:59:01.150123+00:00,
1274,2025-12-10T09:59:06.819381+00:00,"Image1:10X40倍 (161).tif, Normal:4, Malformed:1, Empty:4, MalformationRate:11.1%, GerminationRate:44.4%
Total: Number of images: 1, Normal:4, Malformed:1, Empty:4, MalformationRate:11.1%, GerminationRate:44.4%"
1275,2025-12-29T02:52:13.646302+00:00,
1276,2025-12-29T02:52:17.050512+00:00,
1277,2025-12-29T03:07:30.070919+00:00,
1278,2025-12-29T03:07:32.699210+00:00,
1279,2026-04-17T02:39:21.405965+00:00,
1280,2026-04-17T02:41:15.152142+00:00,
